School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
ALICE BIRNEY WALDORF-INSPIRED,California,0633840,063384007242,–,13,124,19,288,1,506,61,Elementary
ALICE C. STELLE MIDDLE,California,0621000,062100011298,3,42,75,23,627,1,827,56,Middle
ALICE M. ELLINGTON ELEMENTARY,California,0603600,060360000271,2,13,368,4,21,1,418,9,Elementary
ALICE M. WORSLEY,California,0691007,069100709219,2,0,88,34,12,1,138,1,Other
ALICE N. STROUD ELEMENTARY,California,0612690,061269004134,2,17,288,14,91,–,429,17,Elementary
ALICE SHAW ELEMENTARY,California,0628710,062871004468,–,7,334,3,150,1,538,43,Elementary
ALICIA CORTEZ ELEMENTARY,California,0608460,060846000836,1,22,420,11,49,1,517,13,Elementary
ALICIA REYES ELEMENTARY,California,0624600,062460009581,–,29,575,27,9,1,649,8,Elementary
ALILA,California,0611760,061176010446,–,–,433,1,6,–,443,3,Elementary
ALISAL COMMUNITY,California,0601950,060195000082,–,2,617,–,1,–,620,–,Elementary
ALISAL ELEMENTARY,California,0600020,060002009285,2,243,61,14,203,–,567,44,Elementary
ALISAL HIGH,California,0633980,063398005332,–,24,2971,6,38,–,3041,2,High
ALISO ELEMENTARY,California,0607560,060756000724,–,1,284,1,38,–,329,5,Elementary
ALISO NIGUEL HIGH,California,0607440,060744002328,5,469,601,47,1524,10,2894,238,High
ALISO VIEJO MIDDLE,California,0607440,060744002334,1,107,189,6,469,1,857,84,Middle
ALL TRIBES CHARTER,CALIFORNIA,0601989,060198910387,44,–,13,–,3,–,62,2,High
ALL TRIBES ELEMENTARY CHARTER,CALIFORNIA,0601521,060152112735,48,–,3,–,–,–,58,7,Elementary
ALLAN ORRENMAA ELEMENTARY,California,0602430,060243000138,1,33,407,12,64,9,535,9,Elementary
ALLAN PETERSON ELEMENTARY,California,0624600,062460008899,4,55,290,14,167,–,562,32,Elementary
ALLEGIANCE STEAM ACADEMY - THRIVE,CALIFORNIA,0602175,060217514235,2,167,453,30,121,3,813,37,Elementary
ALLEN (DECIMA M.) ELEMENTARY,California,0634230,063423005393,1,59,227,3,29,16,378,43,Elementary
ALLEN (ELLA B.) ELEMENTARY,California,0608610,060861000855,–,40,214,9,71,–,345,11,Elementary
ALLEN AT STEINBECK,California,0634590,063459005697,–,39,288,16,65,4,438,26,Elementary
ALLEN AVENUE ELEMENTARY,California,0605610,060561000503,–,36,249,5,122,–,445,33,Elementary
ALLENDALE ELEMENTARY,California,0628050,062805004238,–,57,158,98,11,10,354,20,Elementary
ALLENSWORTH ELEMENTARY,California,0601980,060198000086,–,–,67,–,–,–,67,–,Elementary
