School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
FELICITA ELEMENTARY,California,0612880,061288001454,–,2,404,2,15,–,427,4,Elementary
FELICITAS AND GONZALO MENDEZ HIGH,California,0622710,062271012438,2,5,933,5,11,–,958,2,High
FELIX J. APPLEBY ELEMENTARY,California,0629640,062964004599,4,8,475,51,86,–,637,13,Elementary
FELTON ELEMENTARY,California,0621420,062142002564,–,4,426,5,2,–,454,17,Elementary
FENTON AVENUE CHARTER,CALIFORNIA,0602126,060212603000,–,3,572,27,8,1,612,1,Elementary
FENTON CHARTER LEADERSHIP ACADEMY,CALIFORNIA,0602456,060245613900,1,12,299,3,34,–,355,6,Elementary
FENTON PRIMARY CENTER,CALIFORNIA,0602242,060224212019,–,13,577,29,7,1,627,–,Elementary
FENTON STEM ACAD: ELEM CENTER FOR SCI TECH ENGR AND MATH,CALIFORNIA,0601613,060161313872,–,11,285,9,32,–,343,6,Elementary
FERN BACON MIDDLE,California,0633840,063384005241,2,170,351,122,21,14,701,21,Middle
FERN DRIVE ELEMENTARY,California,0614730,061473001792,6,84,211,3,129,–,475,42,Elementary
FERN ELEMENTARY,California,0639420,063942006558,1,119,234,10,125,–,537,48,Elementary
FERNANDO R. LEDESMA CONTINUATION HIGH,California,0612120,061212001367,0,9,329,0,3,0,341,0,High
FERNANDO RIVERA INTERMEDIATE,California,0618870,061887002283,1,348,101,3,33,1,510,23,Middle
FERNANGELES ELEMENTARY,California,0622710,062271003001,–,7,484,2,10,–,503,–,Elementary
FERNDALE ELEMENTARY,California,0600037,060003701550,21,–,67,2,203,–,300,7,Elementary
FERNDALE HIGH,California,0600037,060003701551,4,2,28,–,116,–,154,4,High
FERRIS SPANGER ELEMENTARY,California,0633600,063360010034,2,11,88,7,200,2,335,25,Elementary
FESLER (ISAAC) JUNIOR HIGH,California,0605580,060558009317,–,10,953,5,20,–,989,1,Middle
FIDDYMENT FARM,California,0633600,063360013287,1,120,93,18,298,–,581,51,Elementary
FIELD (EUGENE) ELEMENTARY,California,0629940,062994004668,–,245,61,13,35,1,450,95,Elementary
FIELD ELEMENTARY,California,0634320,063432005458,0,10,208,9,48,0,294,19,Elementary
FIELDBROOK ELEMENTARY,California,0613740,061374001553,9,2,4,2,87,–,116,12,Elementary
FIESTA GARDENS INTERNATIONAL ELEMENTARY,California,0634920,063492002791,–,1,382,–,61,4,465,17,Elementary
FIFTEENTH STREET ELEMENTARY,California,0622710,062271003002,2,3,384,25,21,4,450,11,Elementary
FIFTY-FOURTH STREET ELEMENTARY,California,0622710,062271003003,–,–,61,223,3,–,298,11,Elementary
FIFTY-NINTH STREET ELEMENTARY,California,0622710,062271003004,–,–,165,70,1,–,241,5,Elementary
FIFTY-SECOND STREET ELEMENTARY,California,0622710,062271003005,1,–,595,73,21,–,696,6,Elementary
FIGARDEN ELEMENTARY,California,0614550,061455008842,1,50,296,59,92,4,557,55,Elementary
FIGUEROA STREET ELEMENTARY,California,0622710,062271003006,–,–,333,72,7,–,419,7,Elementary
FILLMORE ELEMENTARY,California,0638010,063801006406,3,29,551,22,30,1,649,13,Elementary
FILLMORE MIDDLE,California,0613800,061380001554,1,5,776,1,42,–,830,5,Middle
FILLMORE SENIOR HIGH,California,0613800,061380001555,3,6,942,–,66,–,1024,7,High
FINE ARTS ACADEMY,California,0603300,060330008624,–,7,40,2,126,1,180,4,Middle
FINLEY ELEMENTARY,California,0642150,064215010266,–,86,233,3,12,7,352,11,Elementary
FINNEY (MYRTLE S.) ELEMENTARY,California,0608610,060861000859,–,34,312,8,17,–,378,7,Elementary
FIPPS PRIMARY,California,0600040,060004005119,1,2,358,6,42,–,409,–,Elementary
FIREBAUGH COMMUNITY DAY,California,0613840,061384012917,0,0,5,0,0,0,5,0,Other
FIREBAUGH HIGH,California,0613840,061384001561,–,1,616,1,18,–,636,–,High
FIREBAUGH MIDDLE,California,0613840,061384001562,–,1,496,–,15,2,515,1,Middle
FIRST AVENUE MIDDLE,California,0602970,060297000228,1,539,113,15,75,1,756,12,Middle
FIRST STREET ELEMENTARY,California,0622710,062271003009,–,1,442,1,15,–,460,1,Elementary
FIRST STREET ELEMENTARY,California,0642140,064214008552,1,7,276,1,120,2,417,10,Elementary
FISHBURN AVENUE ELEMENTARY,California,0622710,062271007755,–,–,426,2,11,–,439,–,Elementary
FIVE KEYS ADULT SCHOOL (SF SHERIFF'S),CALIFORNIA,0601583,060158312373,1,4,262,21,30,3,328,7,High
FIVE KEYS CHARTER (SF SHERIFF'S),CALIFORNIA,0601998,060199811407,1,2,72,21,9,2,109,2,High
FIVE KEYS INDEPENDENCE HS (SF SHERIFF'S),CALIFORNIA,0602118,060211812256,18,69,1461,534,221,19,2433,111,High
FLETCHER DRIVE ELEMENTARY,California,0622710,062271003012,–,10,187,–,2,–,199,–,Elementary
FLETCHER ELEMENTARY,California,0634320,063432005459,–,16,68,21,19,1,144,19,Elementary
FLETCHER ELEMENTARY,California,0628650,062865004429,–,110,208,2,82,1,439,36,Elementary
FLETCHER HILLS ELEMENTARY,California,0620250,062025002428,–,28,180,11,363,2,626,42,Elementary
FLETCHER WALKER ELEMENTARY,California,0642300,064230006922,7,0,12,1,64,0,85,1,Elementary
FLORA ARCA MATA,CALIFORNIA,0638010,063801014471,6,55,213,80,35,3,433,41,Elementary
FLORA VISTA ELEMENTARY,California,0612750,061275001435,3,24,53,2,282,–,390,26,Elementary
FLORENCE AVENUE ELEMENTARY,California,0622710,062271003013,–,–,603,12,10,–,629,4,Elementary
FLORENCE E. RATA,California,0614550,061455007964,–,2,17,1,6,–,26,–,High
FLORENCE ELEMENTARY,California,0634320,063432005460,2,3,134,27,46,–,228,16,Elementary
FLORENCE GRIFFITH JOYNER ELEMENTARY,California,0622710,062271003244,–,–,315,107,20,–,457,15,Elementary
FLORENCE MARKOFER ELEMENTARY,California,0612330,061233001406,8,52,203,38,270,6,644,67,Elementary
FLORENCE NIGHTINGALE MIDDLE,California,0622710,062271003215,–,199,616,18,24,1,862,4,Middle
FLORIDA STREET DISCOVERY CENTER,California,0603840,060384013223,1,4,37,5,6,–,55,2,Elementary
FLORIN ELEMENTARY,California,0612330,061233001399,5,188,269,52,34,11,590,31,Elementary
FLORIN HIGH,California,0612330,061233009534,4,658,665,194,93,57,1727,56,High
FLORY ACADEMY OF SCIENCES AND TECHNOLOGY,California,0625690,062569007783,–,41,270,3,110,–,439,15,Elementary
FLOURNOY ELEMENTARY,California,0613860,061386001564,–,–,7,–,33,–,42,2,Elementary
FLOWERY ELEMENTARY,California,0637200,063720006301,–,2,244,1,83,–,339,9,Elementary
FLOYD A. SCHELBY,California,0691020,069102011944,0,5,54,2,11,0,72,0,Other
FLOYD I. MARCHUS,California,0691005,069100509217,0,3,17,13,25,0,59,1,Other
FLOYD M. STORK ELEMENTARY,California,0602160,060216000097,1,62,264,7,307,–,676,35,Elementary
FLYING HILLS SCHOOL OF ARTS,California,0606810,060681000613,2,16,268,40,270,7,674,71,Elementary
FLYNN (LEONARD R.) ELEMENTARY,California,0634410,063441005640,–,10,240,46,67,–,425,62,Elementary
FOLSOM CORDOVA K-8 COMMUNITY CHARTER,California,0613890,061389011068,–,34,140,19,390,1,683,99,Elementary
FOLSOM HIGH,California,0613890,061389001570,8,669,373,65,1260,13,2589,201,High
FOLSOM HILLS ELEMENTARY,California,0613890,061389010294,–,58,94,5,286,–,504,61,Elementary
FOLSOM LAKE HIGH,California,0613890,061389008280,0,5,18,4,29,0,58,2,High
FOLSOM MIDDLE,California,0613890,061389001571,7,394,126,20,677,5,1301,72,Middle
FONTANA A. B. MILLER HIGH,California,0613920,061392010301,1,36,1992,93,78,4,2218,14,High
FONTANA HIGH,California,0613920,061392001589,3,14,2433,49,44,3,2554,8,High
FONTANA MIDDLE,California,0613920,061392001590,2,2,1098,39,33,1,1180,5,Middle
FOOTHILL COMMUNITY DAY,California,0627200,062720011332,0,0,3,0,1,0,4,0,High
FOOTHILL ELEMENTARY,California,0609850,060985009354,2,107,374,33,217,3,773,37,Elementary
FOOTHILL ELEMENTARY,California,0615510,061551001970,1,14,95,–,188,1,345,46,Elementary
FOOTHILL ELEMENTARY,California,0636805,063680512884,77,4,91,4,254,–,443,13,Elementary
FOOTHILL ELEMENTARY,California,0625530,062553003825,2,19,134,15,59,10,248,9,Elementary
FOOTHILL ELEMENTARY,California,0630600,063060004746,3,52,354,73,33,2,549,32,Elementary
FOOTHILL ELEMENTARY,California,0635910,063591006149,–,160,16,3,64,–,292,49,Elementary
FOOTHILL ELEMENTARY,California,0602430,060243000132,3,14,489,6,16,–,530,2,Elementary
FOOTHILL HIGH,California,0640150,064015006638,2,243,1049,18,963,6,2387,106,High
FOOTHILL HIGH,California,0619540,061954002344,7,14,1914,55,126,5,2128,7,High
FOOTHILL HIGH,California,0600020,060002009279,4,1027,221,53,773,8,2232,146,High
FOOTHILL HIGH,California,0601332,060133201985,7,138,499,217,241,14,1195,79,High
FOOTHILL HIGH,California,0611820,061182001300,–,20,269,2,5,1,300,3,High
FOOTHILL HIGH,California,0636600,063660010326,35,30,155,7,1012,4,1325,82,High
FOOTHILL INTERMEDIATE,California,0624090,062409003627,9,3,31,2,150,–,203,8,Middle
FOOTHILL KNOLLS ACADEMY OF INNOVATION,California,0600016,060001609090,2,38,348,44,135,1,597,29,Elementary
FOOTHILL MIDDLE,California,0626370,062637003947,–,153,125,8,381,2,828,159,Middle
FOOTHILL MIDDLE,California,0603600,060360000272,1,11,273,5,13,–,305,2,Middle
FOOTHILL OAK ELEMENTARY,California,0641190,064119011400,2,4,496,9,17,1,534,5,Elementary
FOOTHILL OAKS ELEMENTARY,California,0601332,060133203711,3,32,193,60,170,4,518,56,Elementary
FOOTHILL RANCH ELEMENTARY,California,0633860,063386003468,2,345,165,9,362,5,1043,155,Elementary
FOOTHILL RANCH MIDDLE,California,0601332,060133201984,–,84,201,102,100,5,521,29,Middle
FOOTHILL TECHNOLOGY HIGH,California,0640980,064098008668,4,63,353,7,525,2,1013,59,High
FOOTHILLS HIGH,California,0634880,063488009629,–,–,27,–,18,–,47,2,High
FOOTHILLS MIDDLE,California,0602970,060297000229,–,436,107,16,117,–,686,10,Middle
FORD BOULEVARD ELEMENTARY,California,0622710,062271003014,–,–,883,–,16,–,906,7,Elementary
FORD ELEMENTARY,California,0632550,063255005030,–,41,342,15,11,1,415,5,Elementary
FOREST CHARTER,California,0691023,069102311839,14,12,96,4,597,4,767,40,Other
FOREST GROVE ELEMENTARY,California,0629370,062937004528,3,53,99,7,213,2,391,14,Elementary
FOREST HILL ELEMENTARY,California,0607200,060720000667,1,257,78,20,136,–,550,58,Elementary
FOREST PARK ELEMENTARY,California,0614400,061440000488,–,895,32,15,47,11,1022,22,Elementary
FOREST RANCH CHARTER,CALIFORNIA,0601895,060189512233,8,–,11,–,86,–,122,17,Elementary
FORESTHILL DIVIDE,California,0613980,061398001605,2,3,48,6,307,3,391,22,Elementary
FORESTHILL HIGH,California,0630750,063075011002,2,–,24,–,128,–,165,11,High
FORESTVILLE ACADEMY,California,0614010,061401012023,–,–,76,–,133,–,218,9,Middle
FORESTVILLE ELEMENTARY,California,0614010,061401001606,–,–,13,1,30,–,48,4,Elementary
FORKNER ELEMENTARY,California,0614550,061455007286,2,33,216,47,145,2,481,36,Elementary
FORKS OF SALMON ELEMENTARY,California,0614040,061404001607,0,0,0,0,6,0,8,2,Elementary
FORT BRAGG HIGH,California,0614070,061407001610,5,3,245,3,252,–,546,38,High
FORT BRAGG MIDDLE,California,0614070,061407001609,2,4,170,2,156,–,357,23,Middle
FORT IRWIN MIDDLE,California,0636820,063682008198,5,9,94,31,100,8,275,28,Middle
FORT JONES ELEMENTARY,California,0600159,060015901615,21,3,15,–,86,–,146,21,Elementary
FORT MILLER MIDDLE,California,0614550,061455001731,7,39,479,91,55,2,687,14,Middle
FORT ROSS ELEMENTARY,California,0614130,061413001616,0,0,3,0,5,0,11,3,Elementary
FORT SAGE MIDDLE,California,0600011,060001109066,1,–,5,2,8,–,17,1,Middle
FORT WASHINGTON ELEMENTARY,California,0609030,060903000909,1,68,252,13,205,4,573,30,Elementary
FORTUNA MIDDLE,California,0601420,060142001617,3,–,123,–,75,–,216,15,Middle
FORTUNA UNION HIGH,California,0614190,061419001620,38,5,252,2,543,1,898,57,High
FORTUNE,CALIFORNIA,0602432,060243214070,15,42,451,1201,24,14,1890,143,Other
FORTY-NINER ROP,California,0600082,060008211008,0,0,0,0,0,0,0,0,High
FORTY-NINTH STREET ELEMENTARY,California,0622710,062271003015,–,2,571,47,7,–,644,17,Elementary
FORTY-SECOND STREET ELEMENTARY,California,0622710,062271003016,–,–,65,122,2,–,200,11,Elementary
FOSHAY LEARNING CENTER,California,0622710,062271003017,1,6,1568,251,15,2,1854,11,Other
FOSKETT RANCH ELEMENTARY,California,0642140,064214011007,–,21,89,6,233,1,375,25,Elementary
FOSTER CITY ELEMENTARY,California,0634920,063492005905,1,494,74,5,190,4,854,86,Elementary
FOSTER ELEMENTARY,California,0609620,060962000982,–,2,370,63,1,–,446,10,Elementary
FOSTER ELEMENTARY,California,0603690,060369000330,–,25,499,15,6,–,545,–,Elementary
FOSTER ELEMENTARY,California,0634320,063432005462,1,39,157,31,108,6,395,53,Elementary
FOSTER ROAD ELEMENTARY,California,0627690,062769004165,1,13,242,6,8,1,278,7,Elementary
FOULKS RANCH ELEMENTARY,California,0612330,061233009361,2,110,248,84,248,5,805,108,Elementary
FOUNTAIN VALLEY HIGH,California,0618060,061806002228,8,1909,477,28,806,10,3390,152,High
FOUR CREEKS ELEMENTARY,California,0641160,064116011530,6,29,536,17,49,1,659,21,Elementary
FOURTH STREET ELEMENTARY,California,0622710,062271003018,–,–,351,–,4,–,358,3,Elementary
FOURTH STREET PRIMARY CENTER,CALIFORNIA,0622710,062271013969,–,–,199,–,–,–,202,3,Elementary
FOWLER ACADEMY COMMUNITY DAY,California,0614250,061425013163,0,0,0,0,0,0,0,0,Elementary
FOWLER ACADEMY COMMUNITY DAY (9-12),California,0614250,061425010773,0,0,4,0,0,0,4,0,High
FOWLER ACADEMY CONTINUATION,California,0614250,061425001637,0,0,13,0,3,0,16,0,High
FOWLER ACADEMY INDEPENDENT STUDY,California,0614250,061425012543,0,0,5,0,0,0,5,0,Other
FOWLER HIGH,California,0614250,061425001638,1,87,662,3,80,–,840,7,High
FOX ELEMENTARY,California,0604530,060453000416,1,196,42,5,155,–,480,81,Elementary
FOX ROAD ELEMENTARY,California,0600060,060006011342,1,8,154,1,103,–,268,1,Elementary
FOXBORO ELEMENTARY,California,0639630,063963002845,1,49,189,30,266,4,662,123,Elementary
FRANCES ELLEN WATKINS HARPER JUNIOR HIGH,California,0610620,061062011541,2,105,196,32,223,3,606,45,Middle
FRANCIS HOPKINSON ELEMENTARY,California,0622590,062259007301,1,72,160,5,336,–,638,64,Elementary
FRANCIS J. WHITE LEARNING CENTER,California,0601418,060141806994,2,3,378,1,28,–,413,1,Elementary
FRANCISCO BRAVO MEDICAL MAGNET HIGH,California,0622710,062271010240,–,224,1441,26,48,2,1752,11,High
FRANCISCO MIDDLE,California,0634410,063441005610,–,330,117,26,72,1,583,37,Middle
FRANCISCO SEPULVEDA MIDDLE,California,0622710,062271003340,2,62,1008,36,37,3,1155,7,Middle
FRANCOPHONE CHARTER SCHOOL OF OAKLAND,CALIFORNIA,0601839,060183913942,–,26,68,56,104,–,311,57,Elementary
FRANK AUGUSTUS MILLER MIDDLE,California,0633150,063315012406,2,98,426,72,334,4,983,47,Middle
FRANK D. PARENT,California,0618390,061839002262,–,1,84,338,5,–,439,11,Elementary
FRANK DEL OLMO ELEMENTARY,California,0622710,062271011645,–,48,529,21,9,–,612,5,Elementary
FRANK E. WOODRUFF ELEMENTARY,California,0604440,060444008118,6,25,361,69,14,–,481,6,Elementary
FRANK J. ZAMBONI,California,0629850,062985007134,–,6,749,29,3,2,794,5,Middle
FRANK KOHN ELEMENTARY,California,0639870,063987006613,2,4,471,9,94,1,591,10,Elementary
FRANK L. HUFF ELEMENTARY,California,0626280,062628007791,–,221,35,3,156,2,480,63,Elementary
FRANK LEDESMA ELEMENTARY,California,0637050,063705010974,–,15,455,3,13,–,488,2,Elementary
FRANK M. WRIGHT MIDDLE,California,0618210,061821002241,–,17,881,10,92,–,1012,12,Middle
FRANK OTIS ELEMENTARY,California,0601770,060177000054,–,143,73,16,235,–,610,143,Elementary
FRANK PAUL ELEMENTARY,California,0601950,060195007639,1,4,636,–,9,–,684,34,Elementary
FRANK S. GREENE JR. MIDDLE,California,0629610,062961010323,–,252,138,19,307,14,857,127,Middle
FRANK SPARKES ELEMENTARY,California,0642960,064296006988,2,27,390,2,44,–,466,1,Elementary
FRANK VESSELS ELEMENTARY,California,0610440,061044001174,3,245,161,9,193,4,650,35,Elementary
FRANK WEST ELEMENTARY,California,0603630,060363000298,2,13,613,93,35,–,769,13,Elementary
FRANK ZEEK ELEMENTARY,California,0640300,064030006656,12,8,230,2,158,–,450,40,Elementary
FRANKLIN (BENJAMIN) ELEMENTARY,California,0602610,060261000150,–,15,551,2,33,1,619,17,Elementary
FRANKLIN AVENUE ELEMENTARY,California,0622710,062271003022,–,48,90,7,277,–,450,28,Elementary
FRANKLIN CLASSICAL MIDDLE,California,0622500,062250002713,–,105,917,132,24,2,1200,20,Middle
FRANKLIN DELANO ROOSEVELT ELEMENTARY,California,0618870,061887002284,–,183,117,8,29,4,375,34,Elementary
FRANKLIN ELEMENTARY,California,0614340,061434001642,6,50,107,2,255,1,464,43,Elementary
FRANKLIN ELEMENTARY,California,0601414,060141406018,4,2,443,2,30,–,503,22,Elementary
FRANKLIN ELEMENTARY,California,0622560,062256002771,–,12,67,–,366,–,480,35,Elementary
FRANKLIN ELEMENTARY,California,0632070,063207004936,3,18,450,36,71,–,596,18,Elementary
FRANKLIN ELEMENTARY,California,0624600,062460003689,3,128,384,30,62,1,632,24,Elementary
FRANKLIN ELEMENTARY,California,0625130,062513003733,1,45,579,37,33,5,743,43,Elementary
FRANKLIN ELEMENTARY,California,0603630,060363000299,3,10,301,61,98,–,494,21,Elementary
FRANKLIN ELEMENTARY,California,0635310,063531005985,1,3,364,–,9,–,377,–,Elementary
FRANKLIN ELEMENTARY,California,0635700,063570006090,1,83,56,25,450,–,664,49,Elementary
FRANKLIN ELEMENTARY,California,0634320,063432005463,1,60,173,32,83,1,383,33,Elementary
FRANKLIN ELEMENTARY,California,0612330,061233001400,2,273,209,69,151,18,815,93,Elementary
FRANKLIN ELEMENTARY,California,0601770,060177004337,–,63,57,4,132,–,311,55,Elementary
FRANKLIN ELEMENTARY,California,0628050,062805004261,1,323,123,72,15,5,586,47,Elementary
FRANKLIN ELEMENTARY,California,0614370,061437001644,–,255,270,19,12,1,567,10,Elementary
FRANKLIN ELEMENTARY,California,0606480,060648000582,–,235,35,2,106,3,437,56,Elementary
FRANKLIN HIGH,California,0612330,061233010593,5,1174,578,302,505,27,2883,292,High
FRANKLIN HIGH,California,0638010,063801006407,28,118,1867,124,86,5,2265,37,High
FRAZIER MOUNTAIN HIGH,California,0600026,060002604544,5,5,113,2,114,–,248,9,High
FRAZIER PARK ELEMENTARY,California,0600026,060002609486,1,1,106,2,147,1,268,10,Elementary
FRED C. BEYER HIGH,California,0625150,062515003734,6,89,724,54,581,11,1620,155,High
FRED E. WEIBEL ELEMENTARY,California,0614400,061440009139,–,485,30,7,37,6,592,27,Elementary
FRED EKSTRAND ELEMENTARY,California,0605610,060561000507,–,28,270,20,78,–,434,38,Elementary
FRED L. THOMPSON JUNIOR HIGH,California,0606390,060639009328,–,16,513,124,76,3,739,7,Middle
FRED L. WILLIAMS ELEMENTARY,California,0617850,061785002207,1,49,524,3,8,1,607,21,Elementary
FRED T. KOREMATSU DISCOVERY ACADEMY,California,0628050,062805011977,–,7,152,38,2,6,213,8,Elementary
FRED T. KOREMATSU ELEMENTARY AT MACE RANCH,California,0610620,061062011834,1,94,77,26,226,2,465,39,Elementary
FRED T. KOREMATSU MIDDLE,California,0632550,063255005053,1,124,227,98,213,10,729,56,Middle
FREDERICK JOYCE ELEMENTARY,California,0601332,060133205096,2,87,196,81,100,7,539,66,Elementary
FREDERIKSEN ELEMENTARY,California,0600019,060001909275,–,282,125,36,231,3,755,78,Elementary
FREEDOM ACADEMY OF IMPERIAL VALLEY,California,0617430,061743013071,‡,‡,‡,‡,‡,‡,0,‡,Other
FREEDOM CREST ELEMENTARY,California,0624540,062454011185,1,32,350,47,168,6,668,64,Elementary
FREEDOM ELEMENTARY,California,0609030,060903010484,8,153,209,25,256,2,688,35,Elementary
FREEDOM ELEMENTARY,California,0600035,060003511532,–,3,538,1,–,–,557,15,Middle
FREEDOM ELEMENTARY,California,0629490,062949004541,–,3,561,–,11,–,575,–,Elementary
FREEDOM ELEMENTARY,California,0638670,063867010695,3,113,225,10,204,17,646,74,Elementary
FREEDOM HIGH,California,0621600,062160005726,9,207,1157,257,739,14,2493,110,High
FREEDOM HOME,CALIFORNIA,0600068,060006814039,2,1,43,3,60,–,114,5,Other
FREEDOM MIDDLE,California,0633480,063348008495,2,33,250,18,347,2,662,10,Middle
FREEMAN ELEMENTARY,California,0643080,064308007001,3,18,363,4,57,–,461,16,Elementary
FREESE ELEMENTARY,California,0634320,063432005464,–,33,151,39,6,1,255,25,Elementary
FREMONT ACADEMY OF ENGINEERING AND DESIGN,California,0631320,063132004840,1,25,660,15,9,–,713,3,High
FREMONT ACADEMY OF ENVIRONMENTAL SCIENCE & INNOVATIVE DESIGN,California,0629220,062922004504,3,27,741,10,48,3,841,9,Middle
FREMONT ELEMENTARY,California,0633150,063315005137,1,1,455,28,34,3,530,8,Elementary
FREMONT ELEMENTARY,California,0625470,062547003796,–,3,297,3,6,2,311,–,Elementary
FREMONT ELEMENTARY,California,0635310,063531005986,2,6,433,1,4,–,447,1,Elementary
FREMONT ELEMENTARY,California,0603630,060363000300,1,6,630,60,20,2,726,7,Elementary
FREMONT ELEMENTARY,California,0614550,061455001728,4,16,357,39,33,–,456,7,Elementary
FREMONT ELEMENTARY,California,0601950,060195000084,3,–,755,–,4,–,812,50,Elementary
FREMONT ELEMENTARY,California,0602850,060285000211,4,3,275,106,26,1,429,14,Elementary
FREMONT ELEMENTARY,California,0614250,061425001639,3,40,380,2,30,–,460,5,Elementary
FREMONT ELEMENTARY,California,0600153,060015310936,1,102,409,12,21,1,562,16,Elementary
FREMONT ELEMENTARY,California,0622500,062250002714,1,27,146,20,183,–,467,90,Elementary
FREMONT ELEMENTARY,California,0610890,061089001210,2,33,421,1,6,–,467,4,Elementary
FREMONT HIGH,California,0628050,062805013062,4,47,630,177,21,25,927,23,High
FREMONT HIGH,California,0614430,061443001696,12,723,892,26,428,15,2236,140,High
FREMONT PRIMARY,California,0606990,060699008804,–,–,329,6,23,–,359,1,Elementary
