,District Name,nces_id,Dissimilarity,State,Size
546,Yakima School District,5310110,0.20852804973462175,Washington,5275
245,Olathe,2010140,0.20841655550916882,Kansas,9452
407,Horry 01,4502490,0.20791316428005788,South Carolina,14411
139,Val Verde Unified,691135,0.20755532515549904,California,6591
201,Douglas County,1301860,0.20730863489606205,Georgia,8766
11,Agua Fria Union High School District (4289),400450,0.20712875520763263,Arizona,9219
86,Modesto City High,625150,0.20701025471267337,California,15311
509,Tooele District,4901050,0.20699773400484456,Utah,5058
144,Cherry Creek School District No. 5 in the county of Arapah,802910,0.20623374901481278,Colorado,17843
7,Shelby County,103030,0.20534607695749726,Alabama,6841
55,Corona-Norco Unified,609850,0.2052237659973301,California,17610
136,Whittier Union High,642480,0.2041213627420524,California,10767
290,OSSEO PUBLIC SCHOOL DISTRICT,2725200,0.2020085604411382,MINNESOTA,6712
356,Buncombe County Schools,3700450,0.20191660172345002,North Carolina,7153
544,Tacoma School District,5308700,0.20189198421132531,Washington,8427
291,ROCHESTER PUBLIC SCHOOL DISTRICT,2731800,0.20117109717244128,Minnesota,5726
158,New Haven School District,902790,0.20088384427048234,Connecticut,5855
534,Highline School District,5303540,0.20001075160418819,Washington,6072
157,Hartford School District,901920,0.19978882183115937,Connecticut,5154
494,SOCORRO ISD,4840710,0.19934613445282934,Texas,15861
80,Lodi Unified,622230,0.19780795201520968,California,8673
243,Des Moines Independent Comm School District,1908970,0.19598678709236042,Iowa,9832
504,Davis District,4900210,0.194914356976888,Utah,17932
24,Tolleson Union High School District (4288),408520,0.19468385140136082,Arizona,13335
112,San Bernardino City Unified,634170,0.1946359499510295,California,13283
361,Gaston County Schools,3701620,0.19445204236616082,North Carolina,9222
365,Johnston County Public Schools,3702370,0.19442123426286792,NORTH CAROLINA,12234
536,Kennewick School District,5303930,0.194316179065573,Washington,5928
417,Knox County,4702220,0.19362332538020105,Tennessee,18827
1,Birmingham City,100390,0.19191275995933468,Alabama,5455
538,Lake Washington School District,5304230,0.1910573122529644,Washington,9101
468,KLEIN ISD,4825740,0.19091199845490375,Texas,17537
537,Kent School District,5303960,0.1903862880191682,Washington,7708
540,Pasco School District,5306570,0.1903408222948143,Washington,5789
331,NEW YORK CITY GEOGRAPHIC DISTRICT #12,3600090,0.19020914141144735,New York,5141
246,Shawnee Mission Pub Sch,2011640,0.19018997859533476,Kansas,8005
174,LEE,1201080,0.19014596816630158,FLORIDA,29807
264,Tangipahoa Parish,2201680,0.1895209838321294,Louisiana,5880
2,Huntsville City,101800,0.1874797491143255,Alabama,6816
447,DENTON ISD,4816740,0.1873783981651391,Texas,9746
343,NEW YORK CITY GEOGRAPHIC DISTRICT #27,3600123,0.18567894399643448,New York,11206
295,DESOTO CO SCHOOL DIST,2801320,0.1856415841643571,Mississippi,10813
272,Harford County Public Schools,2400390,0.18529871473870344,Maryland,11272
400,Providence,4400900,0.18473625134022226,RHODE ISLAND,7057
478,MESQUITE ISD,4830390,0.18370875935524117,Texas,11469
165,CLAY,1200300,0.18195462040174287,FLORIDA,12816
5,Mobile County,102370,0.18099580393394624,Alabama,14979
195,Cherokee County,1301110,0.17988930484271354,Georgia,13769
150,Mesa County Valley School District No. 51,804350,0.17922319145736199,Colorado,5885
413,York 04,4503900,0.17890292963047078,SOUTH CAROLINA,5262
209,Muscogee County,1303870,0.17887891291022132,Georgia,8918
328,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,3600086,0.17700206845980615,New York,8907
225,Glenbard Twp HSD 87,1716830,0.17475947656007057,Illinois,7914
484,PEARLAND ISD,4834440,0.17422066565401287,Texas,6929
120,San Ramon Valley Unified,635130,0.17296489268491705,California,10514
422,Sumner County,4704020,0.17266730344111558,Tennessee,9008
83,Madera Unified,623340,0.17236415038620656,California,6045
145,Colorado Springs School District No. 11 in the county of E,803060,0.17234855230175372,Colorado,7393
364,Iredell-Statesville Schools,3702310,0.17227341074135413,NORTH CAROLINA,7097
240,Indianapolis Public Schools,1804770,0.1722386541979064,Indiana,5557
237,Indian Prairie CUSD 204,1741690,0.1711530361824761,Illinois,8839
133,Ventura Unified,640980,0.1699199878347322,California,5375
41,Acalanes Union High,601650,0.1688954348726841,California,5429
461,HUMBLE ISD,4823910,0.1683878007890212,Texas,15369
178,MARTIN,1201290,0.16836500850740552,Florida,6000
177,MARION,1201260,0.1679576857000251,Florida,12934
172,INDIAN RIVER,1200930,0.16738989521643635,Florida,5531
