District Name,nces_id,Dissimilarity,State,Size
Fulton County,1302280,0.5885535634222834,Georgia,28956
Glynn County,1302400,0.14863498916386128,Georgia,3769
Gordon County,1302430,0.07661290322580647,Georgia,2000
Griffin-Spalding County,1302520,0.13664569874192456,Georgia,2785
Gwinnett County,1302550,0.32855076795476473,Georgia,59111
Hall County,1302610,0.26068881562612084,GEORGIA,8790
Henry County,1302820,0.32346436033997894,Georgia,15133
Houston County,1302880,0.3296458866967316,Georgia,9073
Jackson County,1302940,0.19961240310077522,Georgia,2906
Liberty County,1303300,0.11560090075356341,Georgia,2770
Marietta City,1303510,0.0015546055188495765,Georgia,2610
Murray County,1303840,0.28916857360793286,Georgia,2191
Muscogee County,1303870,0.48741307371349096,Georgia,8918
Newton County,1303930,0.1099299813196431,Georgia,6055
Oconee County,1303960,0.19584942084942084,Georgia,2758
Paulding County,1304020,0.1426683114158869,Georgia,10041
Polk County,1304200,0.05066709021601015,Georgia,2369
Richmond County,1304380,0.44842117091808065,Georgia,8965
Rockdale County,1304410,0.09987994694598663,Georgia,5299
Walker County,1305370,0.12973199329983245,Georgia,2393
Walton County,1305390,0.06022996795983193,Georgia,4326
Whitfield County,1305700,0.28485878247253527,Georgia,3904
Hawaii Department of Education,1500030,0.3452822090391307,Hawaii,51229
BOISE INDEPENDENT DISTRICT,1600360,0.16855255218843554,Idaho,6107
VALLIVUE SCHOOL DISTRICT,1600600,0.15339296878757275,IDAHO,2897
COEUR D'ALENE DISTRICT,1600780,0.1014452644526445,Idaho,3292
BONNEVILLE JOINT DISTRICT,1600930,0.20915288063864576,Idaho,4533
IDAHO FALLS DISTRICT,1601530,0.18962601468882875,Idaho,3210
JEFFERSON COUNTY JOINT DISTRICT,1601570,0.03844233649525709,Idaho,2009
JOINT SCHOOL DISTRICT NO. 2,1602100,0.2892416225749559,Idaho,13176
NAMPA SCHOOL DISTRICT,1602340,0.22375677586613246,Idaho,4273
POCATELLO DISTRICT,1602640,0.2956751067761556,Idaho,4027
TWIN FALLS DISTRICT,1603240,0.12501193241480255,Idaho,2901
CHSD 117,1703870,0.10061706206566018,Illinois,2646
Township HSD 214,1704170,0.09996108719766969,Illinois,12073
Belleville Twp HSD 201,1705640,0.2011406033471911,Illinois,4829
Belvidere CUSD 100,1705790,0.05525598115780339,Illinois,2713
CHSD 218,1706540,0.19372639361388658,Illinois,5403
Bremen CHSD 228,1707050,0.39397728764605483,Illinois,5198
Cons HSD 230,1708400,0.12677101605721228,Illinois,7787
CUSD 300,1708550,0.24691915458409636,Illinois,6569
Champaign CUSD 4,1709420,0.053634876110331936,Illinois,3008
City of Chicago SD 299,1709930,0.5461208212843107,Illinois,85956
CHSD 155,1711370,0.1190622189518437,Illinois,5598
Decatur SD 61,1711850,0.06981020783456504,Illinois,2230
CHSD 99,1712570,0.027773292095467444,Illinois,4887
Edwardsville CUSD 7,1713530,0.0,Illinois,2367
SD U-46,1713710,0.286373291319296,Illinois,12200
DuPage HSD 88,1713940,0.19238623148684164,Illinois,3948
Evanston Twp HSD 202,1714490,0.0,ILLINOIS,3727
Glenbard Twp HSD 87,1716830,0.127888753897273,Illinois,7914
Grayslake CHSD 127,1717550,0.11531471384592559,Illinois,2680
Twp HSD 113,1719080,0.2251519027822194,Illinois,3298
Hinsdale Twp HSD 86,1719320,0.16956151894316684,Illinois,3894
Joliet Twp HSD 204,1720610,0.3059495235123735,Illinois,6958
Leyden CHSD 212,1722740,0.17934333919007597,Illinois,3506
CHSD 128,1722830,0.2332657287237216,Illinois,3359
Lincoln Way CHSD 210,1723070,0.2688721065111449,Illinois,6665
Maine Township HSD 207,1724090,0.4044347690872337,Illinois,6335
Moline-Coal Valley CUSD 40,1726400,0.0,Illinois,2170
J S Morton HSD 201,1726880,0.3778928435501099,Illinois,6979
Naperville CUSD 203,1727710,0.05637967987255155,Illinois,5271
Niles Twp HSD 219,1728530,0.01009724908524523,ILLINOIS,4619
McLean County USD 5,1728620,0.34129583922163687,ILLINOIS,3829
Northfield Twp HSD 225,1729010,0.01830099735078697,Illinois,5132
CUSD 308,1730270,0.33562529561087595,Illinois,5820
Township HSD 211,1730450,0.22959889897032348,Illinois,12121
Peoria SD 150,1731230,0.36746626686656675,ILLINOIS,3393
Plainfield SD 202,1731740,0.2557587687902648,Illinois,8982
Adlai E Stevenson HSD 125,1732580,0.0,Illinois,4392
Proviso Twp HSD 209,1732910,0.39436720142602494,Illinois,4708
Quincy SD 172,1733000,0.0,Illinois,2019
Rich Twp HSD 227,1733420,0.0,Illinois,2687
Rockford SD 205,1734510,0.14767990367542277,Illinois,8025
Round Lake CUSD 116,1734990,0.0,Illinois,2244
Springfield SD 186,1737080,0.4884481093529456,Illinois,3937
St Charles CUSD 303,1737170,0.03386613386613388,ILLINOIS,4136
Thornton Fractional Twp HSD 215,1738940,0.21840866899797093,ILLINOIS,3330
Thornton Twp HSD 205,1738970,0.4685605471786103,ILLINOIS,3704
Valley View CUSD 365U,1740070,0.08713353115727004,Illinois,5337
Indian Prairie CUSD 204,1741690,0.09452624093318147,Illinois,8839
CUSD 200,1742180,0.1500912732980423,Illinois,3821
Zion-Benton Twp HSD 126,1743890,0.013668779714738483,Illinois,2564
MSD Southwest Allen County Schls,1800030,0.009080553295362127,INDIANA,2583
Bartholomew Con School Corp,1800360,0.3087038416196052,Indiana,3753
Monroe County Community Sch Corp,1800630,0.024344569288389503,Indiana,3346
East Allen County Schools,1802850,0.43255591236077223,Indiana,4619
Evansville Vanderburgh School Corp,1803450,0.3717470395565634,Indiana,6206
Fort Wayne Community Schools,1803630,0.13063405323729566,Indiana,8229
Greater Clark County Schools,1803940,0.15139630934788373,Indiana,2816
School City of Hammond,1804320,0.024124620898814425,Indiana,3633
Indianapolis Public Schools,1804770,0.14910979228486648,Indiana,5424
MSD Lawrence Township,1805670,0.05981620929566553,Indiana,5099
New Albany-Floyd Co Con Sch,1807410,0.2195984874304169,Indiana,3641
Perry Township Schools,1808820,0.08762529418088819,Indiana,4776
South Bend Community School Corp,1810290,0.31093399343455363,Indiana,4526
Hamilton Southeastern Schools,1810650,0.03987748004530686,Indiana,7041
